,res_ifhoos,res_heu_da,t_heu_da,res_heu_sw,time_heu_sw,res_pure,time_pure,res_abc,res_coi,res_rand
0,306.0,284.0,42.4225927696228,282.0,33.750444173812866,270.0,401.5503511428833,310.0,326.0,282.0
1,306.0,290.0,33.335469755172724,298.0,27.190924406051636,282.0,357.0346837043762,324.0,326.0,312.0
2,306.0,276.0,42.94005541992186,264.0,39.76121664047241,304.0,386.6544349193573,316.0,326.0,312.0
3,306.0,276.0,59.111961977005,312.0,43.65957164764404,284.0,400.95849084854126,324.0,326.0,290.0
4,306.0,290.0,26.960141530990605,242.0,40.589301109313965,310.0,358.14488101005554,324.0,326.0,298.0
5,306.0,284.0,36.20968538856506,292.0,46.14976477622986,298.0,364.6661067008972,324.0,326.0,324.0
6,306.0,312.0,43.290718847274775,292.0,18.596726655960083,310.0,393.21076250076294,316.0,326.0,312.0
7,306.0,276.0,38.856238895416254,296.0,30.1971435546875,310.0,344.092666387558,308.0,326.0,270.0
8,306.0,310.0,47.50721837997436,278.0,35.477420806884766,312.0,372.8632695674896,322.0,326.0,256.0
9,306.0,292.0,46.04621642494201,284.0,33.20568132400513,316.0,356.4190890789032,324.0,326.0,290.0
