,random,abc,coi,ifhoos
0,19872.0,26200.0,26334.0,24982.0
1,19868.0,25948.0,26334.0,25494.0
2,21454.0,25910.0,26334.0,25022.0
3,20566.0,25962.0,26390.0,25354.0
4,19624.0,25972.0,26390.0,25354.0
5,19544.0,26286.0,26390.0,26162.0
6,19958.0,26028.0,26390.0,26128.0
7,19692.0,25914.0,26390.0,26094.0
