,abc,coi,ifhoos,random
0,24.0,24.0,24.0,
1,24.0,24.0,24.0,
2,24.0,24.0,24.0,
3,24.0,24.0,24.0,
4,24.0,24.0,24.0,
5,,,,24.0
6,,,,24.0
7,,,,24.0
