,random,ifhoos,directqap
0,2700.0,3318.0,2916.0
1,2802.0,3318.0,2916.0
2,2802.0,3318.0,2916.0
3,2526.0,3318.0,3570.0
4,2724.0,3318.0,3570.0
5,2442.0,3318.0,3570.0
