,is_canonical,random_bunching,random_grouping,qapres_heu_da,res_heu_da,time_heu_da,perm
0,True,False,False,81,24.0,"[14.939671039581299, 0.7513225078582764, 3.709]",[7 6 5 3 2 4 1 0]
1,True,False,False,81,24.0,"[11.503747940063477, 0.07869744300842285, 3.708]",[7 6 5 3 2 4 1 0]
2,True,False,False,81,24.0,"[12.175145387649536, 0.34679698944091797, 3.708]",[7 6 5 3 2 4 1 0]
3,True,False,False,81,24.0,"[18.333878993988037, 0.06250381469726562, 3.709]",[7 6 5 3 2 4 1 0]
4,True,False,False,81,24.0,"[15.39120864868164, 0.12600088119506836, 3.709]",[7 6 5 3 2 4 1 0]
