,qapres_heu_da,res_heu_da,time_heu_da
0,76829.0,1398.0,"[0.3156607151031494, 0.5930476188659668, 0.1020193099975586, 0.8012561798095703, 1.342700481414795, 20.209999999999997, 157.4346022605896]"
1,80372.0,1332.0,"[0.4016408920288086, 0.6508965492248535, 0.13279271125793457, 0.8161542415618896, 1.3107881546020508, 20.184, 159.91298651695251]"
2,60724.0,1362.0,"[0.4056413173675537, 0.37078022956848145, 0.13814592361450195, 0.8440589904785156, 1.2511661052703857, 20.103, 163.44528722763062]"
3,71791.0,1350.0,"[0.43073391914367676, 0.4769313335418701, 0.10229372978210449, 0.8498826026916504, 1.4673175811767578, 20.092000000000002, 162.10356760025024]"
4,70125.0,1350.0,"[0.5087502002716064, 0.5148341655731201, 0.10303497314453125, 0.8708465099334717, 1.4100477695465088, 20.079, 151.3199782371521]"
