,qapres_heu_da,res_heu_da,time_heu_da,perm
0,975436,316.0,"[28.794672966003418, 30.422877550125122, 0.10307121276855469, 0.33922815322875977, 2.0852668285369873, 12.939999999999998, 363.90099453926086]","[ 5. 23. 18. 22.  4. 20. 21.  6. 47. 19. 39. 33. 31. 25. 14. 63. 56. 57.
 26. 58. 34. 35. 30. 49. 42. 55.  3. 15. 41. 46. 17. 16.  2. 60. 13. 61.
 29. 37. 12. 59. 28. 36. 52.  7. 53. 11. 45. 51. 44. 40.  1.  0. 62. 54.
 27. 10. 50. 48. 38.  9.  8. 43. 32. 24.]"
1,1077104,320.0,"[32.30109882354736, 24.800384283065796, 0.10280609130859375, 0.3170905113220215, 0.7712979316711426, 14.226999999999999, 378.83585691452026]","[39. 37. 49. 55. 51. 38. 36. 15. 50. 35.  7. 47. 63. 44. 23. 57.  6.  5.
 58. 22. 59.  3. 21. 52. 25. 10. 30. 33.  9. 54. 34. 53. 14. 31.  4.  1.
 20. 61. 43. 60. 42. 19. 28. 41. 29. 13. 48. 12. 27. 11. 26. 32. 62.  2.
 56. 24. 18. 45.  0. 17. 16. 46. 40.  8.]"
