,is_canonical,random_bunching,random_grouping,qapres_heu_da,res_heu_da,time_heu_da,perm
0,True,False,False,15920674,3942.0,"[71.29970574378967, 0.1403493881225586, 3.665, 4232.464209318161, 210.76041507720947, 90.492]","[264 177 176 179 173 172 244 256 175 163 170 157 143 269 265 166 262 266
 174 171 214 165 158 169 156 160 168 150 152 161 178 167 267 257 231 142
 253 259 260 250  82  89 263 268 241 192 226 240 252 218 155 138 164 148
 137 162 159 154 135 141 139 149 146 136 144 151 147  66  72  88  62  85
  78  81  79  86 238 230 234 235 251 243 258 245 254 249 211 228 232 223
  44 220 246  76 212 227  75  77  87  83  59 215 195 229  56  70 204  49
  51  52 153 261 225 255 236 210 208 222 247 207  58  65  45  34  47  35
  64  53  50  73  74  14  54  63  46  17 224 217 239 209 237 248 196 216
  57 206 193 200 221 203 187 202 219 213  69 180 126 123 122 131 134 120
 132 133 127 124  33  10  60  67  71  29  32  61 114 116 129  91 110 109
 104  94  84 233  68  48  37 118 242 117  42 125 130 119 111 100 102 182
 106  95  21  38  25  22  36  43 128  40  13 115  41  27  24  90 101 107
 112  99 198 197 181 188 190 183 191 189 186 199 205 201 185 184 194  97
 140  98  19  20   7  28  30  31   5   0  80   9  11   3   4  26  15  12
  18   2  39 113 105  93 121 145 108   8  16   6  23  92   1  96 103  55]"
1,True,False,False,15883359,3750.0,"[91.75371170043945, 0.5224609375, 3.688, 3399.4687860012054, 264.9241051673889, 90.804]","[266 177 264 268 257 174 246 269 267 241 263 259 261 200 245 254 240 244
 176 173 210 166 248 265 256 262  79 226 258 250 247 236 179 168 169  80
 167 175 154 164  89  82 172 144 171 160 170 157 165 163 204 187 228 234
 237 260 214 249 242 231 189 229 202 251 213 232 233  67  85  64  88  66
  54  86  84  76 178 155 161 153 147 140 151 156 162 150 139 148 138 109
 143 128 145 152 137  68  63  70  71 132  87 120  72 131 136  61 212  51
   6   2 142 119 185 112 107 135 121 159 149 129  38  83  52  49  53  56
  48  77  60  46  57  62  73  27  47  59 146 158 133 126 124 141 117 134
 110 130 102 114  31 115 127 123 122 101 116 125 216 222 215 235 253 227
 191 221 238 230  11  33  21  41  81  29  39  74 219 224 239 188 203 195
 198 197  15 100  99 199  96  58  34 184 207 194 225 186 243 190 180  78
 183 181  16  36  37  26  13  20 196 192  32   7  69  44  40 252 220 193
 205 209 118 111 108 106  90 113 104  95  93  98  92  97 103  94  91 217
 201 223  30  43  42   9  65  22  55  25   4   3  19   1  24 105  18   0
  28  14   8 255 208 218 206  45  50  23 182  35  10   5 211  75  17  12]"
2,True,False,False,15918121,3954.0,"[70.1782374382019, 0.393904447555542, 3.667, 3786.9649777412415, 543.2686264514923, 90.87100000000001]","[167 175 179 177 174 165 171 172  85 169 176  77  20 158  54 178 166  67
  52 162 157 173 164 148 142 168 149 163 170 146 144 159  79  89 227  70
 262  72  83  62  86  80  84  71  87  60  59  22  36  69 153 156 141 154
 145 152 161 160 130 147 138 151 150 139 251 140 155 253 257 248 240 256
 238 258 254 259  65  82  76  73  68  75  55  81  58  78  61  64  34  48
   2  28  45  57 220 250 234  74 232  27  33  40 249 229 252  23 255 261
 265 267 128  66  14  25  63  51 134  44  47  88 269 184 263 224 231 236
 203 264 246 268 199 244 217 216 214 210  46  56  16  35  49  50  38  53
  41   8  37  29  13  21  24  11  32 245  26  31 132 136 137 135 133 143
 125 119 108 124 266 180 202 213 247 118 235 215 219 115 123 126 117 120
 129 116 223  99 260 222 243 218 127 131  39  42 111 122 121 112 109  17
 110 104 241 197 183 237 209 201 190 211 225 106 189 182 204 113 107 103
 101 105  30   7  19  43   6   3  15  10  12  18   0   5   1   9   4 102
  90  92 208 221 198 195 242 193 186 192 239 206 194 188 185 233 200 226
 191 228 187  93  95 230 114 100  97 207  94 181 196 205  91  96 212  98]"
