,is_canonical,qapres_heu_da,res_heu_da,time_heu_da,perm
0,False,4983044,1818.0,"[41.49205827713013, 30.47999095916748, 0.16545438766479492, 0.006448507308959961, 8347.990869283676, 133.88286137580872, 1079.289]","[165 175 176 163 179 171 158 169 161 157 152 155 153  78 101  87  86  82
  75  83  84  89  80  81  77 162 178 167 160 174 172 170 177 166 144 140
 135  56  61  57  74  63  60  68  65  79 122 154  28 138 137 141 139 142
 145 143 148 149 147 128  70 134 112  37 130  85 127 156 164 106 150  73
  76  64  72  50  51  66 124 114 121 117 126  71  46  55  53  69  47 173
  59 131 129  19  31  67  38  23  58  32  49  54  52  48  62 110  45 146
  35  34  41  39  43  42  40  30  44  26 136 118 111 151 105 168 159 132
 125  27  24  16  36  20  14   9  21  10  33   6  22  29  11 120 115 133
   1 123 116 108 104 107 113  99   5  25  15  17   2  97 109 119 102 103
  95  96  88  92  90  94  93 100  91  98  13  18   8   0   4   7  12   3]"
1,True,5010688,1818.0,"[41.49205827713013, 30.47999095916748, 0.16545438766479492, 0.006448507308959961, 8347.990869283676, 137.53707933425903, 1079.095]","[ 86  84 101  62  69  87  85  80  83  78  79  72  59 170 172 171 177 164
 175 174 155 158 179 169 173  71  76  77  89  73  81  70  64  63  53  46
  48 176 161 157 178 162 165 148 151 160  38  82 168  47  50  51  45  49
  68  65  74  56  58  39 167  41  30 163  29 150  43  61  67  24  27 146
 139 145 166 140 143 153  35  33  19  44  31 136 159 152 147 138 142  34
 127  40  20 132 141 135 116 137 149 121 156 128 126 114 154  54 144  55
 131 130 122 123 129 110 115 134 124 133  17  66  52  32  36  75  57  37
  60 125 113 103 104 112 120  92  97  95 100 117 105 118 102  26  25  42
  91  14  12  13   5  21   9  10 111 119 109  96  90  18  23   1  15   4
  16  22  28   0   8  11   3   2   6   7 107 106  99  93  94  98 108  88]"
2,False,4993781,1806.0,"[41.02796936035156, 46.68467926979065, 0.1830911636352539, 0.00673985481262207, 5556.8688185215, 132.86067724227905, 60.283]","[ 85  65  63  71  76  87  88  69  70  73  78  89  82 179 162 173 163 177
 175 164 174 178 171  81 167  86  84  67  77  49  56  68  62  66  45  50
  46 146 170 149 143 155 172 139  80 156 150 176 148  51  52  32  55  48
  40  53 161  31  47  30 158  37 168  28 160  72  44 151  36  60  34 165
 141 142 169 166 157 154  54  64  41  29  59 138 136 133 140 159 147  79
  33  83  38 120 129 114 153 137 115 152 127  21 145 132 118 144  75 135
 105 130 117 126 128 119 131 134 124 125  23  15   3  18  43  57  61  58
  24 111 121 110 116 113 122  98 109 108 106 112 101  91 107  96 100  74
  12  22  35  42  14  10  20  27  97  99 123  90 104  25  13   1   9  11
   8  17  19   0  26   4   6  16   5   2  95 103  93  94  92 102  39   7]"
3,True,5001976,1818.0,"[41.02796936035156, 46.68467926979065, 0.1830911636352539, 0.00673985481262207, 5556.8688185215, 132.44200372695923, 60.632999999999996]","[175 173 154 163 164 161 148 176 152 151 170 166 165 174 178  69  85  88
  76  79 179 169  84 177  83 162 156 141 168 171 167 137 153 160 138 136
 135  65  64  80  70  73  52  78 132  87  77  82  63 149 143 139 142 140
 158 123  67 157 129 150  75 119  72 134  89 116 101  86 155 122 111  60
  50  62  68  71  55  61 114 121 107 103 128  47  74  53  45  66  57 145
 144 125 131  43  81  56  59  48  58  29  46 120  51  54  40  26 113  49
  30  36  38  25  28  34  44  33  35  41  92  98 130 146 172 147 159 127
 112  21   8  16  31   9   3  23  15  32  42  13  27  24  12  14  11   7
 105 115 133 104 124 100 106 126  10  19  20  22  37  99 102 117 110  39
  94 118  90 108  93  91  96 109  97  95  17   4  18   2   6   5   1   0]"
4,False,5042930,1818.0,"[41.03840661048889, 37.8503942489624, 0.20696496963500977, 0.007179737091064453, 6939.546770334244, 132.54164671897888, 55.792]","[ 63  69  81  89  61  59  88 171  73  53  65  22  54 157  40 165 152 179
 178 160 161 175 144 172 173  74  78  84  82  75  85  71  80  67  57  60
  47 176 169 163 151 164 149 170 148 167 156 174 162  55  46  45  52  62
  41  20  86  77 177  44  83 153 168  24 154 159  43  72  87  37  38 155
 138 147 143 145 141 146  27  48  66  36  50 135 136 140 137 142 127  58
 166  17  76 114 132 158 126 109 134 119 113 131 150 110  30 139   2  56
 129 124 133 111 128 116 130 125 123 122  25  12  51   0  70  34  26  64
  49  94 118 115 112  90 108 117 104 121 107 120 100 102  14  42  79  91
  18  29  39  33  16  21  35  31 101  92 103  99  96  13  28  23  32  15
   1  19  11   5   7   9   6  10   3   4  98  95  93 106 105  97   8  68]"
5,True,5033852,1818.0,"[41.03840661048889, 37.8503942489624, 0.20696496963500977, 0.007179737091064453, 6939.546770334244, 175.81367421150208, 55.661]","[159 175 165 151 174 162 176 179 169 146 155 157 152  85 167 171 144  89
  70  88  79  87 168  78  86 178 145 172 148 160 147 177 154 153 138 135
 140  65  69  80  58  81  62  77  82  67  61  71  74 120 141 161 139 136
 113 166 115 170  83 149 133  84  64 129  76  75 134 105 156 114 158  66
  55  47  54  59  49  51 119 143 137  98 112  43  40  73  45  39  50 128
  57 126 122  53  44  25  46  42  52  30  60  63  56  72 164  48 150 132
  38  21  31  22  29  35  23  41  28  36 173 125 163 110  95 106 109 127
 104  11  37  18  34  26  14  20   4   9  19  24  10  33   8 124 142   2
 130 131 101 118 117  99 121 102  32  17  27  15   5  94  96 107  92 108
  68 116  97 123  90  91 103 100 111  93   7  13  16  12   6   0   1   3]"
