,qapres_heu_sw,res_heu_sw,time_heu_sw,perm
0,1048326,330.0,"[26.999425411224365, 23.186414003372192, 0.23289060592651367, 0.318328857421875, 1.0351619720458984, 2.405884027481079, 55.86127996444702]","[37. 28. 25. 31. 30. 26.  2. 33. 21. 29. 54. 62. 55. 50. 14. 47.  9. 41.
 15. 63. 51. 58. 13.  7. 23. 22. 32.  1. 38.  5. 20. 39. 24.  4. 53. 59.
 12. 44. 11. 52. 60. 43. 18.  3. 36. 19. 35.  6. 42.  0. 16. 27. 34. 48.
  8. 57. 45. 46. 56. 49. 40. 10. 61. 17.]"
1,1066499,336.0,"[30.84735369682312, 25.194862127304077, 16.64108967781067, 0.32403111457824707, 0.8038744926452637, 2.167383909225464, 77.34363555908203]","[36. 39. 47. 35. 15. 11. 10. 51. 37. 38. 32. 30. 28. 56.  7. 57.  3. 43.
  6. 46.  5. 27. 58. 12. 18. 50. 31. 34. 54. 52. 55. 20. 33. 14. 41.  4.
 42. 59.  0. 60. 26. 29. 19. 17. 49.  8. 40. 21. 53.  9. 16. 13. 61.  2.
 24. 44. 45. 23. 62. 63. 22. 48.  1. 25.]"
2,910667,296.0,"[32.00070595741272, 28.88106608390808, 16.744988679885864, 0.29786109924316406, 0.6921868324279785, 2.3239874839782715, 82.10413098335266]","[ 5.  3. 23.  6.  1.  4.  7. 21. 56. 17. 14. 31. 39. 47. 26. 36. 30. 15.
 34. 12. 10. 33. 25. 58. 40. 54. 50. 57. 19.  2. 62. 18. 20. 55. 35. 28.
 42. 11. 29. 37. 13. 43. 52. 51. 61. 22. 53. 44. 63. 16. 60.  0. 45. 49.
 41. 27.  9. 48.  8. 32. 46. 38. 59. 24.]"
