tai30a.dat 2028898 1.945 2077338 16.53410840034485
tai30a.dat 1807206 1.926 2084920 16.021809816360474
tai30a.dat 2018346 1.935 2080656 16.302632808685303
tai30a.dat 2028518 1.941 2058790 15.819540977478027
tai30a.dat 2015774 1.939 1860980 15.836889028549194
tai30a.dat 2002090 1.932 2057542 15.655423402786255
tai80a.dat 15121000 21.018 15238284 1019.4557933807373
tai80a.dat 15120898 20.971 15222946 833.1498024463654
tai80a.dat 15155404 21.095 15330960 890.2885363101959
tai80a.dat 15164050 20.94 15273794 842.0904927253723
tai80a.dat 15146156 20.964 15312762 826.430139541626
tai80a.dat 15137346 21.008 15222704 806.5903451442719
tai40b.dat 959615070 4.14 928490999 33.47748589515686
tai40b.dat 939274516 4.178 1002321717 26.073806285858154
tai40b.dat 965156117 4.121 918416082 26.396711111068726
tai40b.dat 925343341 4.136 992525837 26.205638647079468
tai40b.dat 932549721 4.127 986471944 26.13815999031067
tai40b.dat 897451243 4.162 942987726 26.06979012489319
tai40a.dat 3554474 4.151 3625614 51.753753662109375
tai40a.dat 3499186 4.164 3642468 52.34301543235779
tai40a.dat 3554222 4.163 3615874 53.1138436794281
tai40a.dat 3542100 4.159 3624038 51.95542001724243
tai40a.dat 3512218 4.143 3637206 52.95414400100708
tai40a.dat 3549874 4.17 3582998 52.42512226104736
tai50b.dat 666203049 12.45 706507899 59.93355464935303
tai50b.dat 675945992 12.465 611271097 61.2682421207428
tai50b.dat 685904540 12.447 675189803 60.315428018569946
tai50b.dat 675559656 12.458 665519627 60.75483059883118
tai50b.dat 655671095 12.469 691827469 61.70574641227722
tai50b.dat 721790883 12.447 645043216 59.95140624046326
tai60b.dat 844726082 13.487 908426619 126.08091711997986
tai60b.dat 816105038 13.5 864938976 121.808767080307
tai60b.dat 848735367 13.484 834675642 126.92206478118896
tai60b.dat 962718139 13.488 870895567 122.16398286819458
tai60b.dat 855527909 13.495 948278600 124.6039891242981
tai60b.dat 946569922 13.472 896826221 121.0024983882904
sko90.dat 130714 22.796 133322 1168.3174386024475
sko90.dat 130694 22.818 133774 1080.12136054039
sko90.dat 130932 22.842 133842 1116.366634607315
sko90.dat 131000 22.822 134478 926.8890051841736
sko90.dat 130278 22.842 134184 921.0134422779083
sko90.dat 130782 22.837 134226 919.0440073013306
tai50a.dat 5577944 12.565 5687748 130.29474067687988
tai50a.dat 5598816 12.57 5681122 126.61792755126953
tai50a.dat 5597244 12.542 5706008 126.62816858291626
tai50a.dat 5594344 12.539 5734578 125.17987728118896
tai50a.dat 5615256 12.544 5713076 126.39017724990845
tai50a.dat 5607664 12.539 5694282 128.23229551315308
sko72.dat 75456 19.3 77854 399.6437408924103
sko72.dat 75402 19.3 77328 386.49297404289246
sko72.dat 75500 19.28 77730 391.15956830978394
sko72.dat 75338 19.285 77616 384.0977554321289
sko72.dat 75594 19.362 77800 386.3566505908966
sko72.dat 75584 19.348 77750 384.68689799308777
sko49.dat 26784 12.322 27980 87.31459164619446
sko49.dat 26672 12.325 28072 86.3110191822052
sko49.dat 26886 12.327 27892 86.98742341995239
sko49.dat 26860 12.306 27824 85.88841986656189
sko49.dat 26770 12.305 27924 86.15668773651123
sko49.dat 26572 12.291 28102 87.14273762702942
sko42.dat 18138 4.436 18766 47.50382995605469
sko42.dat 18186 4.484 19272 46.62297081947327
sko42.dat 18206 4.431 19304 47.56765151023865
sko42.dat 18174 4.423 19314 46.63514685630798
sko42.dat 18284 4.468 19036 45.87036609649658
sko42.dat 18218 4.422 19212 46.99094820022583
sko64.dat 55260 14.331 57494 249.00209546089172
sko64.dat 55114 14.261 56968 258.3843846321106
sko64.dat 55430 14.277 56988 240.73540091514587
sko64.dat 55394 14.306 57372 247.59189248085022
sko64.dat 54738 14.341 57062 238.65393948554993
sko64.dat 54964 14.288 57248 243.6097173690796
tai35b.dat 374018700 3.745 381377473 13.629863977432251
tai35b.dat 384463266 3.736 423161466 16.007587671279907
tai35b.dat 425758576 3.73 380947919 14.16423773765564
tai35b.dat 404740766 3.762 400830967 14.103275299072266
tai35b.dat 354075091 3.735 419494945 14.196707248687744
tai35b.dat 390232343 3.722 421627671 14.040262222290039
tai60a.dat 8120726 13.57 8205550 273.6429674625397
tai60a.dat 8114400 13.917 8220436 254.96900582313538
tai60a.dat 8118322 13.554 8116022 258.8729569911957
tai60a.dat 8158274 13.557 8189656 258.73522210121155
tai60a.dat 8105202 13.567 8248630 251.9636468887329
tai60a.dat 8150372 13.542 8230360 256.83943796157837
sko56.dat 39780 12.944 41032 143.9348566532135
sko56.dat 39274 12.94 40814 142.107661485672
sko56.dat 39554 12.94 40746 147.60875988006592
sko56.dat 39676 12.929 40472 145.64630389213562
sko56.dat 39724 12.941 40578 143.92125034332275
sko56.dat 39728 12.935 41386 141.87095737457275
tai35a.dat 2717270 3.737 2784254 30.019293546676636
tai35a.dat 2721746 3.753 2796188 29.883259296417236
tai35a.dat 2719700 3.755 2780252 29.70742964744568
tai35a.dat 2729152 3.759 2788190 29.83710813522339
tai35a.dat 2731264 3.757 2807814 29.615944623947144
tai35a.dat 2720394 3.756 2770106 29.818418264389038
sko81.dat 103472 21.374 106536 703.1573860645294
sko81.dat 102682 21.347 106598 603.2107229232788
sko81.dat 102964 21.36 106564 592.7885007858276
sko81.dat 103042 21.341 105370 605.2534749507904
sko81.dat 103376 21.353 104814 594.6397278308868
sko81.dat 103168 21.336 106160 720.2090952396393
tai30b.dat 1057157729 1.912 1055331403 8.598731994628906
tai30b.dat 992381821 1.912 1054003737 8.513712644577026
